ban1,ban2,ban3,ban4,paddy
1092,1081,691,2964,1
1089,1079,698,2848,1
1069,1064,667,2748,1
1068,1050,660,2819,1
1075,1034,654,2867,1
1088,1047,696,2786,1
1088,1047,696,2786,1
1077,1039,682,2766,1
1072,1033,668,2679,1
1085,1024,742,1977,1
1072,1029,655,2232,1
1083,1031,643,2275,1
1074,1032,632,2339,1
1082,1022,659,2300,1
1087,1034,648,2682,1
1062,1035,644,2750,1
1062,1035,644,2750,1
1066,1031,661,2688,1
1071,1038,671,2665,1
1099,1061,698,3018,1
1059,1055,646,3143,1
1066,1044,646,3060,1
1093,1060,652,3012,1
1079,1093,670,2962,1
1075,1092,684,2904,1
1086,1093,685,2851,1
1086,1093,685,2851,1
1091,1083,692,3013,1
1079,1057,662,2873,1
1064,1048,639,2975,1
1081,1081,671,3014,1
1103,1080,697,2921,1
1082,1055,671,2822,1
1066,1054,658,2865,1
1066,1044,646,2895,1
1086,1047,672,2823,1
1086,1047,672,2823,1
1086,1058,689,2808,1
1067,1025,656,2683,1
1087,1005,652,2287,1
1072,1001,619,2524,1
1071,1017,650,2701,1
1069,1016,634,2736,1
1069,1016,634,2736,1
1060,1027,650,2732,1
1067,1041,634,2692,1
1091,1050,706,2879,1
1090,1058,683,3067,1
1066,1044,646,3060,1
1093,1060,652,3012,1
1079,1093,670,2962,1
1075,1092,684,2904,1
1086,1093,685,2851,1
1086,1093,685,2851,1
1091,1083,692,3013,1
1079,1057,662,2873,1
1064,1048,639,2975,1
1081,1081,671,3014,1
1103,1080,697,2921,1
1082,1055,671,2822,1
1066,1054,658,2865,1
1066,1044,646,2895,1
1086,1047,672,2823,1
1086,1047,672,2823,1
1086,1058,689,2808,1
1067,1025,656,2683,1
1069,1016,634,2736,1
1069,1016,634,2736,1
1060,1027,650,2732,1
1067,1041,634,2692,1
1091,1050,706,2879,1
1090,1058,683,3067,1
1072,1055,646,3048,1
1079,1054,653,2965,1
1072,1081,683,2863,1
1078,1093,699,2772,1
1098,1098,694,2686,1
1098,1098,694,2686,1
1093,1082,709,2890,1
1070,1054,667,2802,1
1077,1053,678,2845,1
1097,1078,717,3004,1
1103,1094,727,2962,1
1073,1049,673,2799,1
1073,1046,649,2881,1
1073,1061,636,2957,1
1085,1044,662,2886,1
1085,1044,662,2886,1
1083,1040,673,2868,1
1061,1019,663,2615,1
1057,1027,637,2861,1
1057,1027,637,2861,1
1066,1029,646,2731,1
1070,1030,645,2633,1
1074,1015,639,2631,1
1086,1046,693,2817,1
1090,1058,705,3087,1
1080,1064,668,3105,1
1104,1096,700,3041,1
1102,1104,735,2979,1
1113,1084,726,2865,1
1113,1084,726,2865,1
1091,1087,725,2818,1
1085,1046,697,2570,1
1077,1049,676,2548,1
1066,1035,679,2435,1
1075,1037,697,2372,1
1088,1047,675,2718,1
1056,1034,654,2809,1
1092,1055,669,2844,1
1092,1063,706,2708,1
1092,1063,706,2708,1
1102,1075,743,2730,1
1087,1053,696,2537,1
1076,1035,727,2586,1
1059,1015,639,2804,1
1069,1026,670,2410,1
1076,1025,661,2417,1
1072,1029,639,2596,1
1075,1031,687,2655,1
1113,1086,781,2952,1
1099,1081,748,2960,1
1110,1075,726,2690,1
1093,1072,713,2635,1
1081,1066,695,2616,1
1081,1066,695,2616,1
1084,1069,694,2588,1
1087,1047,686,2509,1
1075,1053,689,2468,1
1077,1048,700,2395,1
1103,1043,715,2448,1
1125,1069,740,2678,1
1085,1074,737,2688,1
1099,1069,747,2582,1
1098,1068,744,2564,1
1098,1068,744,2564,1
1099,1066,734,2462,1
1088,1046,715,2343,1
1070,1059,681,2437,1
1066,1012,649,2678,1
1076,1027,657,2489,1
1058,1020,644,2595,1
1069,1032,639,2687,1
1065,1025,626,2783,1
1119,1086,791,2815,1
1121,1096,790,2555,1
1087,1062,690,2457,1
1083,1053,673,2456,1
1081,1046,681,2527,1
1081,1046,681,2527,1
1084,1055,698,2516,1
1091,1073,732,2597,1
1085,1075,740,2621,1
1100,1086,730,2627,1
1095,1059,743,2601,1
1100,1074,773,2590,1
1099,1087,740,2542,1
1092,1079,728,2476,1
1096,1084,733,2460,1
1096,1084,733,2460,1
1091,1066,701,2479,1
1097,1067,731,2502,1
1100,1085,714,2566,1
1072,1025,628,2824,1
1062,1022,619,2861,1
1063,1039,611,2842,1
1053,1025,633,2944,1
1083,1050,668,2833,1
1143,1121,828,2474,1
1108,1064,743,2339,1
1094,1067,717,2352,1
1087,1071,726,2532,1
1087,1071,726,2532,1
1088,1069,732,2582,1
1105,1092,712,2633,1
1090,1086,715,2629,1
1094,1073,725,2558,1
1099,1059,719,2530,1
1091,1074,726,2634,1
1096,1076,717,2588,1
1098,1077,706,2592,1
1098,1081,729,2616,1
1098,1081,729,2616,1
1093,1093,721,2657,1
1099,1086,739,2644,1
1096,1084,744,2604,1
1050,1011,616,2974,1
1061,1037,624,2888,1
1064,1042,605,2924,1
1056,1027,616,2902,1
1063,1017,635,2655,1
